Unnamed: 0,Rank,Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
125,126,https://www.goodreads.com/book/show/57370115-highly-suspicious-and-unfairly-cute,Highly Suspicious and Unfairly Cute,Talia Hibbert,Romance,English,3.71,33270.0,"January 3, 2023",336.0,1587.0,77000.0
126,127,https://www.goodreads.com/book/show/60784757-birnam-wood,Birnam Wood,Eleanor Catton,Fiction,English,3.81,44144.0,"March 2, 2023",432.0,6796.0,103000.0
127,128,https://www.goodreads.com/book/show/71872930-north-woods,North Woods,Daniel Mason,Fiction,English,4.13,65786.0,"September 19, 2023",372.0,12600.0,133000.0
128,129,https://www.goodreads.com/book/show/61225421-storm-watch,Storm Watch,C.J. Box,Mystery,English,4.2,23968.0,"February 28, 2023",368.0,2642.0,4623.0
129,129,https://www.goodreads.com/book/show/174753697-hopeless,Hopeless,Elsie Silver,Romance,English,4.12,210188.0,"October 13, 2023",486.0,11800.0,149000.0
130,131,https://www.goodreads.com/book/show/157062582-the-mystery-guest,The Mystery Guest,Nita Prose,Mystery,English,3.81,120460.0,"November 28, 2023",293.0,6703.0,168000.0
131,132,https://www.goodreads.com/book/show/65215270-the-house-of-doors,The House of Doors,Tan Twan Eng,Historical Fiction,English,4.13,15972.0,"May 4, 2023",306.0,1725.0,44600.0
132,133,https://www.goodreads.com/book/show/127280062-ruthless-vows,Ruthless Vows,Rebecca Ross,Fantasy,English,4.02,296138.0,"December 26, 2023",420.0,22000.0,297000.0
133,134,https://www.goodreads.com/book/show/62848145-the-housemaid-s-secret,The Housemaid's Secret,Freida McFadden,Thriller,English,4.23,917369.0,"February 15, 2023",318.0,84000.0,551000.0
134,135,https://www.goodreads.com/book/show/63068346-the-sunlit-man,The Sunlit Man,Brandon Sanderson,Fantasy,English,4.31,52099.0,"October 1, 2023",385.0,3421.0,55100.0
135,136,https://www.goodreads.com/book/show/61062499-the-perfumist-of-paris,The Perfumist of Paris,Alka Joshi,Historical Fiction,English,4.16,30168.0,"March 28, 2023",368.0,1825.0,41600.0
136,137,https://www.goodreads.com/book/show/62039259-open-throat,Open Throat,Henry Hoke,Fiction,English,4.01,14350.0,"June 6, 2023",160.0,480.0,35700.0
137,138,https://www.goodreads.com/book/show/57932307-one-of-us-is-back,One of Us Is Back,Karen M. McManus,Mystery,English,3.96,60613.0,"July 25, 2023",368.0,2976.0,140000.0
138,139,https://www.goodreads.com/book/show/62854842-ink-blood-sister-scribe,Ink Blood Sister Scribe,Emma Törzs,Fantasy,English,4.02,50872.0,"May 30, 2023",416.0,4450.0,155000.0
139,140,https://www.goodreads.com/book/show/61137200-the-last-chance-cowboy,The Last Chance Cowboy,Jody Hedlund,Historical Fiction,English,4.41,1352.0,"February 14, 2023",352.0,69.0,3265.0
140,141,https://www.goodreads.com/book/show/87556695-let-us-descend,Let Us Descend,Jesmyn Ward,Historical Fiction,English,3.7,30932.0,"October 24, 2023",320.0,3459.0,108000.0
141,142,https://www.goodreads.com/book/show/63267168-princes-of-chaos,Princes of Chaos,Angel Lawson,Reverse Harem,English,4.37,6153.0,"May 31, 2023",582.0,859.0,7949.0
142,142,https://www.goodreads.com/book/show/61246258-pineapple-street,Pineapple Street,Jenny Jackson,Fiction,English,3.56,187365.0,"March 7, 2023",304.0,8802.0,198000.0
143,142,https://www.goodreads.com/book/show/123194693-pucking-around,Pucking Around,Emily Rath,Romance,English,3.81,158511.0,"March 18, 2023",756.0,25700.0,168000.0
144,145,https://www.goodreads.com/book/show/61153739-outlive,Outlive: The Science & Art of Longevity,Peter Attia,Health,English,4.36,67625.0,"March 28, 2023",496.0,29600.0,149000.0
145,145,https://www.goodreads.com/book/show/101124639-bright-young-women,Bright Young Women,Jessica Knoll,Thriller,English,4.01,160351.0,"September 19, 2023",384.0,11900.0,321000.0
146,147,https://www.goodreads.com/book/show/66087062-the-unmaking-of-june-farrow,The Unmaking of June Farrow,Adrienne Young,Fantasy,English,4.15,104623.0,"October 17, 2023",320.0,5626.0,297000.0
147,148,https://www.goodreads.com/book/show/61273344-the-golden-spoon,The Golden Spoon,Jessa Maxwell,Mystery,English,3.48,44889.0,"March 7, 2023",288.0,2110.0,61700.0
148,149,https://www.goodreads.com/book/show/60880820-the-shards,The Shards,Bret Easton Ellis,Fiction,English,4.01,31466.0,"January 17, 2023",595.0,3777.0,62200.0
149,150,https://www.goodreads.com/book/show/63892214-vampires-of-el-norte,Vampires of El Norte,Isabel Cañas,Horror,English,3.89,30569.0,"August 15, 2023",371.0,1906.0,103000.0
150,151,https://www.goodreads.com/book/show/59397314-the-foxglove-king,The Foxglove King,Hannah F. Whitten,Fantasy,English,3.78,28039.0,"March 7, 2023",466.0,3093.0,134000.0
151,152,https://www.goodreads.com/book/show/56687771-only-the-beautiful,Only the Beautiful,Susan Meissner,Historical Fiction,English,4.46,31233.0,"April 18, 2023",400.0,1763.0,68000.0
